Assembly Accession	Organism Name	Assembly Level	Assembly Name	Assembly BioProject Accession	Annotation Release Date
GCF_000364385.3	Klebsiella pneumoniae	Complete Genome	ASM36438v3	PRJNA183901	2025-05-22
GCF_000689275.1	Klebsiella pneumoniae	Scaffold	AFX_PRJEB4159_v1	PRJEB4159	2025-06-13
GCF_000710075.1	Klebsiella pneumoniae	Contig	KlePne1.0	PRJNA241287	2025-05-16
GCF_000710095.1	Klebsiella pneumoniae	Contig	ASM71009v1	PRJNA246374	2025-06-03
GCF_000722485.1	Klebsiella pneumoniae	Contig	ASM72248v1	PRJNA249076	2025-01-05
GCF_000723925.1	Klebsiella pneumoniae	Scaffold	AFW_PRJEB4160_v1	PRJEB4160	
GCF_000735285.1	Klebsiella pneumoniae	Contig	ASM73528v1	PRJNA246609	2025-06-03
GCF_000738865.1	Klebsiella pneumoniae	Scaffold	ASM73886v1	PRJNA254180	2025-06-02
GCF_000738875.1	Klebsiella pneumoniae	Scaffold	ASM73887v1	PRJNA254180	2025-06-02
GCF_000739495.1	Klebsiella pneumoniae	Complete Genome	ASM73949v1	PRJNA248655	2025-01-05
GCF_000742135.1	Klebsiella pneumoniae	Scaffold	ASM74213v1	PRJNA244567	2025-01-05
GCF_000747055.1	Klebsiella pneumoniae	Contig	ASM74705v1	PRJNA258037	2025-08-15
GCF_000755605.1	Klebsiella pneumoniae	Scaffold	ASM75560v1	PRJNA248444	2025-01-05
GCF_000763925.1	Klebsiella pneumoniae	Contig	CDPH5262-4	PRJNA258328	2025-06-03
GCF_000763935.1	Klebsiella pneumoniae	Contig	CDPH3823-4	PRJNA258327	2025-06-03
GCF_000764615.1	Klebsiella pneumoniae	Complete Genome	ASM76461v1	PRJNA253300	2025-01-05
GCF_000764635.1	Klebsiella pneumoniae	Scaffold	ASM76463v1	PRJNA247286	2025-01-05
GCF_000766125.1	Klebsiella pneumoniae	Contig	ASM76612v1	PRJNA257766	2024-12-31
GCF_000775955.1	Klebsiella pneumoniae	Complete Genome	ASM77595v1	PRJNA261555	2025-01-05
GCF_000783515.2	Klebsiella pneumoniae	Contig	ASM78351v2	PRJNA231221	2025-01-05
GCF_000785625.1	Klebsiella pneumoniae	Scaffold	ASM78562v1	PRJNA259998	2025-01-05
GCF_000787995.1	Klebsiella pneumoniae	Scaffold	ASM78799v1	PRJNA261239	2025-06-03
GCF_000788005.1	Klebsiella pneumoniae	Scaffold	ASM78800v1	PRJNA261239	2025-06-04
GCF_000788025.1	Klebsiella pneumoniae	Scaffold	ASM78802v1	PRJNA261239	2023-04-05
GCF_000805735.1	Klebsiella pneumoniae	Contig	ASM80573v1	PRJNA264954	2024-12-31
GCF_000807395.2	Klebsiella pneumoniae	Complete Genome	ASM80739v3	PRJNA259789	2021-01-10
GCF_000807475.1	Klebsiella pneumoniae	Contig	ASM80747v2	PRJNA259789	2025-01-05
GCF_000807495.1	Klebsiella pneumoniae	Contig	ASM80749v2	PRJNA259789	2025-01-05
GCF_000807515.1	Klebsiella pneumoniae	Contig	ASM80751v2	PRJNA259791	2025-01-05
GCF_000812525.1	Klebsiella pneumoniae	Contig	ASM81252v1	PRJNA270001	2024-12-31
GCF_000814305.1	Klebsiella pneumoniae	Complete Genome	ASM81430v1	PRJNA259789	2025-01-05
GCF_000817855.1	Klebsiella pneumoniae	Scaffold	ASM81785v1	PRJNA270953	2024-12-31
GCF_000818615.1	Klebsiella pneumoniae	Scaffold	ASM81861v1	PRJNA271839	2024-12-31
GCF_000820445.1	Klebsiella pneumoniae	Contig	KPLM21	PRJEB7075	2017-02-21
GCF_000821365.1	Klebsiella pneumoniae	Contig	100SGR	PRJEB6543	2017-02-21
GCF_000821385.1	Klebsiella pneumoniae	Contig	101BO	PRJEB6543	2017-02-21
GCF_000821405.1	Klebsiella pneumoniae	Contig	102BO	PRJEB6543	2017-02-21
GCF_000821425.1	Klebsiella pneumoniae	Contig	103BO	PRJEB6543	2017-02-21
GCF_000821445.1	Klebsiella pneumoniae	Contig	104BO	PRJEB6543	2017-02-21
GCF_000821465.1	Klebsiella pneumoniae	Contig	10PV	PRJEB6543	2018-07-16
GCF_000821485.1	Klebsiella pneumoniae	Contig	11PV	PRJEB6543	2017-02-21
GCF_000821505.1	Klebsiella pneumoniae	Contig	12PV	PRJEB6543	2017-02-21
GCF_000821525.1	Klebsiella pneumoniae	Contig	13PV	PRJEB6543	2017-02-21
GCF_000821545.1	Klebsiella pneumoniae	Contig	14PV	PRJEB6543	2017-02-21
GCF_000821565.1	Klebsiella pneumoniae	Contig	15PV	PRJEB6543	2017-02-21
GCF_000821585.1	Klebsiella pneumoniae	Contig	16BO	PRJEB6543	2017-02-21
GCF_000821605.1	Klebsiella pneumoniae	Contig	17PV	PRJEB6543	2018-07-16
GCF_000821625.1	Klebsiella pneumoniae	Contig	18PV	PRJEB6543	2018-07-16
GCF_000821645.1	Klebsiella pneumoniae	Contig	19PV	PRJEB6543	2018-07-16
GCF_000821665.1	Klebsiella pneumoniae	Contig	20PV	PRJEB6543	2017-02-21
